"Bank","SUM(Value)","Customer Code"
DS,57909,100000
DS,53063,100001
DS,69803,100002
DS,25482,100003
DS,63315,100004
DS,39668,100005
DS,77636,100006
DS,76190,100007
DS,56400,100008
DS,56581,100009
DS,77893,100010
DSB,27585,100000
DSB,67856,100001
DSB,27936,100002
DSB,58154,100003
DSB,39003,100004
DSB,56396,100005
DSB,32333,100006
DSB,29702,100007
DSB,47121,100008
DSB,51749,100009
DSB,92654,100010
DTB,77252,100000
DTB,60675,100001
DTB,48616,100002
DTB,84574,100003
DTB,44435,100004
DTB,37795,100005
DTB,41909,100006
DTB,29308,100007
DTB,69352,100008
DTB,52926,100009
DTB,71396,100010
