Id,TotalVeryActiveMinutes,TotalSedentaryMinutes
1503960366,1200,26293
1624580081,269,38990
1644430081,287,34856
1844505072,4,37405
1927972279,41,40840
2022484408,1125,34490
2026352035,3,21372
2320127002,42,37823
2347167796,243,12369
2873212765,437,34013
3372868164,183,21551
3977333714,567,21226
4020332650,161,38355
4057192912,3,4869
4319703577,111,22810
4388161847,718,25937
4445114986,205,25727
4558609924,322,33902
4702921684,159,23759
5553957443,726,20719
5577150313,2620,22633
6117666160,44,22296
6290855005,80,34598
6775888955,286,33785
6962181067,707,20532
7007744171,807,27439
7086361926,1320,26364
8053475328,2640,35588
8253242879,390,24460
8378563200,1819,22200
8583815059,300,39284
8792009665,28,30754
8877689391,2048,34499
